Country,object
USA,Adecoagro S.A. -AGRO
USA,"Adams Diversified Equity Fund, Inc. -ADX"
USA,Turkcell Iletisim Hizmetleri A.S. -TKC
USA,"Adams Natural Resources Fund, Inc. -PEO"
USA,"General American Investors Company, Inc. -GAM"
USA,ASA Gold and Precious Metals Limited -ASA
USA,Rayonier Advanced Materials Inc. -RYAM
USA,Artisan Partners Asset Management Inc. -APAM
USA,AMB Financial Corp. -AMFC
USA,Harrison Vickers and Waterman Inc. -HVCW
USA,"J. Alexander's Holdings, Inc. -JAX"
USA,"American Realty Investors, Inc. -ARL"
USA,"Affymax, Inc. -AFFY"
USA,Embotelladora Andina S.A. -AKO-A
USA,Great Ajax Corp -AJX
USA,Panhandle Oil and Gas Inc. -PHX
USA,"Global Brass and Copper Holdings, Inc. -BRSS"
USA,"Astika Holdings, Inc. -ASKH"
USA,"Altex Industries, Inc. -ALTX"
USA,"Applied Energetics, Inc. -AERG"
Australia,Vealls Limited -VELCP.AX
USA,"Saker Aviation Services, Inc. -SKAS"
USA,Moog Inc. -MOG-A
USA,Amanasu Techno Holdings Corporation -ANSU
USA,"Alternet Systems, Inc. -ALYI"
USA,"Alliance Bioenergy Plus, Inc. -ALLM"
USA,"Aspen Aerogels, Inc. -ASPN"
USA,American Riviera Bank -ARBV
USA,"Advanced Oxygen Technologies, Inc. -AOXY"
Germany,Allianz SE -ALV.DE
USA,"Allied Resources, Inc. -ALOD"
USA,Embotelladora Andina S.A. -AKO-B
USA,AmBase Corporation -ABCP
USA,"Gray Television, Inc. -GTN-A"
USA,"Advanced Voice Recognition Systems, Inc. -AVOI"
USA,Astea International Inc. -ATEA
USA,ASICS Corporation -ASCCF
USA,"Arch Therapeutics, Inc. -ARTH"
USA,"AmpliTech Group, Inc. -AMPG"
USA,"Apollo Medical Holdings, Inc. -AMEH"
USA,"AudioEye, Inc. -AEYE"
USA,"Aerogrow International, Inc. -AERO"
USA,"Auburn Bancorp, Inc. -ABBB"
USA,Town and Country Financial Corporation -TWCF
USA,"Tiger Oil and Energy, Inc. -TGRO"
USA,"Signal Advance, Inc. -SIGL"
Germany,InVision Aktiengesellschaft -IVX.DE
USA,Health Advance Inc. -HADV
USA,First National Bank Alaska -FBAK
USA,First Advantage Bancorp -FABK
USA,"Daybreak Oil and Gas, Inc. -DBRM"
India,Bharti Airtel Limited -BHARTIARTL.NS
USA,"Aura Systems, Inc. -AUSI"
USA,Avatar Ventures Corp. -ATAR
Mexico,"Grupo Aeroportuario del Sureste, S. A. B. de C. V. -ASURB.MX"
India,Ashok Leyland Limited -ASHOKLEY.NS
Australia,Ansell Limited -ANN.AX
USA,Alpha Network Alliance Ventures Inc. -ANAV
USA,"American International Industries, Inc. -AMIN"
USA,American Business Bank -AMBZ
USA,"Alseres Pharmaceuticals, Inc. -ALSE"
USA,ALR Technologies Inc. -ALRT
USA,American Heritage International Inc. -AHII
USA,"Artisanal Brands, Inc. -AHFP"
USA,"American Graphite Technologies, Inc. -AGIN"
USA,"American Fiber Green Products, Inc. -AFBG"
USA,"Advanced Life Sciences Holdings, Inc. -ADLS"
USA,AltaPacific Bancorp -ABNK
USA,Abakan Inc. -ABKI
Australia,Zicom Group Limited -ZGL.AX
Australia,Western Areas Ltd -WSA.AX
Australia,WorleyParsons Limited -WOR.AX
Australia,White Energy Company Limited -WEC.AX
Australia,Westpac Banking Corporation -WBC.AX
Australia,Webster Limited -WBA.AX
Mexico,"Wal-Mart de México, S.A.B. de C.V. -WALMEX.MX"
Germany,Vestas Wind Systems A/S -VWS.DE
Australia,Sundance Resources Limited -SDL.AX
USA,Virtus Oil and Gas Corp. -VOIL
Australia,Voltage IP Limited -VIP.AX
Australia,Vietnam Industrial Investments Limited -VII.AX
USA,"United Bancorporation of Alabama, Inc. -UBAB"
Australia,TPG Telecom Limited -TPM.AX
Australia,Teranga Gold Corporation -TGZ.AX
Australia,Tassal Group Limited -TGR.AX
Australia,Techniche Ltd. -TCN.AX
Australia,Transurban Group -TCL.AX
Australia,Suda Limited -SUD.AX
USA,Arcis Resources Corporation -ARCS
Germany,Rocket Internet SE -RKET.DE
Australia,Ramsay Health Care Limited -RHC.AX
USA,"All Marketing Solutions, Inc. -PTPF"
USA,"Parks! America, Inc. -PRKA"
Australia,Pilbara Minerals Limited -PLS.AX
Australia,OZ Minerals Limited -OZL.AX
Germany,NORMA Group SE -NOEJ.DE
Australia,Navarre Minerals Limited -NML.AX
Australia,Myer Holdings Limited -MYR.AX
Australia,Mortgage Choice Limited -MOC.AX
Australia,MEC Resources Limited -MMR.AX
Australia,Kresta Holdings Limited -KRS.AX
Australia,Kasbah Resources Limited -KAS.AX
Australia,Jervois Mining Limited -JRV.AX
Australia,Imugene Limited -IMU.AX
Australia,Iluka Resources Limited -ILU.AX
Australia,Harvey Norman Holdings Limited -HVN.AX
USA,"Hispanica International Delights of America, Inc. -HISP"
Mexico,Alphabet Inc. -GOOG.MX
Australia,GrainCorp Limited -GNC.AX
USA,"Great Lakes Aviation, Ltd. -GLUX"
Australia,"GI Dynamics, Inc. -GID.AX"
USA,"Soul and Vibe Interactive, Inc. -SOUL"
USA,"U.S. Aerospace, Inc. -USAE"
Australia,Cochlear Limited -COH.AX
Australia,Spectrum Rare Earths Limited -SPX.AX
Germany,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien -BVB.DE
Australia,Boral Limited -BLD.AX
Australia,Bendigo and Adelaide Bank Limited -BEN.AX
USA,Amexdrug Corp. -AXRX
USA,"AXIM Biotechnologies, Inc. -AXIM"
USA,"Avidbank Holdings, Inc. -AVBH"
USA,Fincera Inc. -AUTCF
India,Aurobindo Pharma Limited -AUROPHARMA.NS
Australia,ASX Limited -ASX.AX
USA,Auscrete Corporation -ASCK
USA,"Arno Therapeutics, Inc. -ARNI"
USA,"Applied Visual Sciences, Inc. -APVS"
Mexico,"América Móvil, S.A.B. de C.V. -AMXL.MX"
USA,Amerityre Corporation -AMTY
USA,American Sands Energy Corp. -AMSE
USA,American Metals Recovery and Recycling Inc. -AMRR
Australia,AMP Limited -AMP.AX
USA,"Armco Metals Holdings, Inc -AMCO"
USA,American Bank Incorporated -AMBK
USA,"Amarillo Biosciences, Inc. -AMAR"
USA,Arkanova Energy Corporation -AKVA
USA,"AllDigital Holdings, Inc -ADGL"
USA,"ABCO Energy, Inc. -ABCE"
USA,"All-American Sportpark, Inc. -AASP"
Mexico,Apple Inc. -AAPL.MX
Australia,Yancoal Australia Ltd -YAL.AX
Australia,XTD Limited -XTD.AX
Australia,Westfield Corporation Limited -WFD.AX
Australia,Ultima United Limited -UUL.AX
Australia,United Overseas Australia Limited -UOS.AX
Australia,Uscom Limited -UCM.AX
Australia,"Universal Biosensors, Inc. -UBI.AX"
Australia,Terramin Australia Limited -TZN.AX
Australia,Treasury Wine Estates Limited -TWE.AX
Australia,Ten Network Holdings Limited -TEN.AX
USA,"ARYx Therapeutics, Inc. -ARYX"
USA,"Monarch America, Inc. -BTFL"
Australia,Smartgroup Corporation Ltd -SIQ.AX
Australia,Select Harvests Limited -SHV.AX
Australia,Senetas Corporation Limited -SEN.AX
Australia,Steadfast Group Limited -SDF.AX
Germany,STADA Arzneimittel Aktiengesellschaft -SAZ.DE
Germany,SAP SE -SAPA.DE
India,Sanwaria Agro Oils Limited -SANWARIA.NS
Australia,Resource Base Limited -RBX.AX
Australia,Phylogica Limited -PYC.AX
USA,"PASSUR Aerospace, Inc. -PSSR"
Australia,Petsec Energy Ltd -PSA.AX
Australia,Perpetual Limited -PPT.AX
Germany,PNE Wind AG -PNE3.DE
Australia,Premier Investments Limited -PMV.AX
USA,Proguard Acquisition Corp -PGRD
Australia,Peak Resources Limited -PEK.AX
Australia,Paladin Energy Ltd -PDN.AX
Australia,Probiotec Limited -PBP.AX
Australia,Panoramic Resources Limited -PAN.AX
Germany,OSRAM Licht AG -OSR.DE
Australia,Orica Limited -ORI.AX
Australia,OFX Group Limited -OFX.AX
Germany,OVB Holding AG -O4B.DE
Australia,NTM Gold Limited -NTM.AX
Australia,NIB Holdings Limited -NHF.AX
Germany,Nordex SE -NDX1.DE
Australia,Mayne Pharma Group Limited -MYX.AX
Australia,Macquarie Atlas Roads Group -MQA.AX
Australia,Money3 Corporation Limited -MNY.AX
Australia,Liontown Resources Limited -LTR.AX
Australia,Lifestyle Communities Limited -LIC.AX
Australia,London City Equities Limited -LCE.AX
Australia,LBT Innovations Limited -LBT.AX
Mexico,"Grupo Lala, S.A.B. de C.V. -LALAB.MX"
Germany,KSB Aktiengesellschaft -KSB.DE
Australia,Kazakhstan Potash Corporation Limited -KPC.AX
Australia,KalNorth Gold Mines Limited -KGM.AX
Australia,KGL Resources Limited -KGL.AX
Germany,KROMI Logistik AG -K1R.DE
Australia,Joyce Corporation Limited -JYC.AX
USA,Ambient Water Corporation -AWGI
Australia,Incitec Pivot Limited -IPL.AX
Australia,ImpediMed Limited -IPD.AX
Australia,Independence Group NL -IGO.AX
USA,"EF Hutton America, Inc. -HUTN"
Australia,HFA Holdings Limited -HFA.AX
Australia,Hawthorn Resources Limited -HAW.AX
Australia,Galaxy Resources Limited -GXY.AX
Australia,GUD Holdings Limited -GUD.AX
Australia,Goodman Group -GMG.AX
Australia,G8 Education Limited -GEM.AX
Australia,Global Construction Services Limited -GCS.AX
Australia,Gale Pacific Limited -GAP.AX
USA,Global Arena Holding Inc. -GAHC
Germany,GEA Group Aktiengesellschaft -G1A.DE
Australia,Fortescue Metals Group Limited -FMG.AX
USA,"Experience Art and Design, Inc. -EXAD"
Germany,Telefonaktiebolaget LM Ericsson (publ) -ERCA.DE
Australia,Energy Metals Limited -EME.AX
Australia,Elders Limited -ELD.AX
Australia,Domino's Pizza Enterprises Limited -DMP.AX
Australia,Central Petroleum Limited -CTP.AX
Australia,CSL Limited -CSL.AX
USA,American Cryostem Corporation -CRYO
Germany,CompuGroup Medical Societas Europaea -COP.DE
USA,"Legend Oil and Gas, Ltd. -LOGL"
USA,"Advanzeon Solutions, Inc. -CHCR"
Australia,Cardno Limited -CDD.AX
Australia,Base Resources Limited -BSE.AX
Australia,Boom Logistics Limited -BOL.AX
Australia,Boart Longyear Limited -BLY.AX
Australia,Brickworks Limited -BKW.AX
Australia,Blackmores Limited -BKL.AX
Australia,Bell Financial Group Limited -BFG.AX
Germany,Bayer Aktiengesellschaft -BAYA.DE
Mexico,TV Azteca SAB de CV -AZTECACPO.MX
USA,Azure Holding Group Corp. -AZRH
USA,"Daniels Corporate Advisory Company, Inc. -DCAC"
USA,"Arista Power, Inc. -ASPW"
Germany,"Applied Materials, Inc. -AP2.DE"
USA,Andrea Electronics Corporation -ANDR
Australia,Kollakorn Corporation Limited -KKL.AX
USA,"Applied Minerals, Inc. -AMNL"
USA,American Lithium Minerals Inc. -AMLM
Australia,Amcor Limited -AMC.AX
Australia,Altium Limited -ALU.AX
India,Almondz Global Securities Limited -ALMONDZ.NS
USA,CNK Global Inc. -ALFE
Mexico,"Alfa, S. A. B. de C. V. -ALFAA.MX"
Australia,AJ Lucas Group Limited -AJL.AX
USA,Airware Labs Corp. -AIRW
Australia,Ainsworth Game Technology Limited -AGI.AX
USA,Allied First Bancorp Inc. -AFBA
Mexico,"Autodesk, Inc. -ADSK.MX"
USA,"Acusphere, Inc. -ACUS"
USA,"Asia Carbon Industries, Inc. -ACRB"
USA,"ActiveCare, Inc. -ACAR"
USA,AB&T Financial Corp. -ABTO
Germany,ABB Ltd -ABJ.DE
Australia,Adelaide Brighton Limited -ABC.AX
USA,Allied American Steel Corp. -AAST
Germany,Amadeus FiRe AG -AAD.DE
Australia,Zeus Resources Limited -ZEU.AX
Australia,YPB Group Limited -YPB.AX
Australia,Yowie Group Ltd -YOW.AX
Australia,Yanghao International Limited -YHL.AX
USA,The Boeing Company -BA
USA,International Business Machines Corporation -IBM
USA,BP p.l.c. -BP
USA,Baxter International Inc. -BAX
USA,Berkshire Hathaway Inc. -BRK-A
USA,"Best Buy Co., Inc. -BBY"
USA,The Blackstone Group L.P. -BX
USA,Boston Scientific Corporation -BSX
USA,Bristol-Myers Squibb Company -BMY
USA,U.S. Bancorp -USB
USA,"BlackRock, Inc. -BLK"
USA,"Yum! Brands, Inc. -YUM"
USA,Peabody Energy Corporation -BTU
USA,The Bank of New York Mellon Corporation -BK
USA,"Zimmer Biomet Holdings, Inc. -ZBH"
USA,BHP Billiton Limited -BHP
USA,Citizens Bancshares Corporation -CZBS
USA,"Great Basin Scientific, Inc. -GBSN"
USA,"Franklin Resources, Inc. -BEN"
USA,"L Brands, Inc. -LB"
USA,Bank of Montreal -BMO
USA,BB&T Corporation -BBT
USA,BP Prudhoe Bay Royalty Trust -BPT
USA,"Barnes & Noble, Inc. -BKS"
USA,"H&R Block, Inc. -HRB"
USA,"SunTrust Banks, Inc. -STI"
USA,Molson Coors Brewing Company -TAP
USA,Bitauto Holdings Limited -BITA
USA,Barclays PLC -BCS
USA,The Toronto-Dominion Bank -TD
USA,M&T Bank Corporation -MTB
USA,"Boston Properties, Inc. -BXP"
USA,Royal Bank of Canada -RY
USA,"C. R. Bard, Inc. -BCR"
USA,BCE Inc. -BCE
USA,"Stanley Black & Decker, Inc. -SWK"
USA,Barnes Group Inc. -B
USA,BorgWarner Inc. -BWA
USA,Ball Corporation -BLL
USA,"Toll Brothers, Inc. -TOL"
USA,"The Boston Beer Company, Inc. -SAM"
USA,"Box, Inc. -BOX"
USA,Brunswick Corporation -BC
USA,Pitney Bowes Inc. -PBI
USA,Cincinnati Bell Inc. -CBB
USA,"The Buckle, Inc. -BKE"
USA,"B&G Foods, Inc. -BGS"
USA,Bonanza Creek Energy Inc. -BCEI
USA,Bill Barrett Corporation -BBG
USA,Canadian Imperial Bank of Commerce -CM
USA,BHP Billiton plc -BBL
USA,Tupperware Brands Corporation -TUP
USA,"Safe Bulkers, Inc. -SB"
USA,Bunge Limited -BG
USA,Georgia Bancshares Inc. -GABA
USA,Bristow Group Inc. -BRS
USA,General Cable Corporation -BGC
USA,"NCI Building Systems, Inc. -NCS"
USA,Banco Bradesco S.A. -BBD
USA,"Banco Santander, S.A. -SAN"
USA,Emergent BioSolutions Inc. -EBS
USA,"Buckeye Partners, L.P. -BPL"
USA,Sterling Bancorp -STL
USA,"Brinker International, Inc. -EAT"
USA,"Cullen/Frost Bankers, Inc. -CFR"
USA,The Bank of Nova Scotia -BNS
USA,"Bemis Company, Inc. -BMS"
USA,"Basic Energy Services, Inc. -BAS"
USA,Westpac Banking Corporation -WBK
USA,"Northwest Biotherapeutics, Inc. -NWBO"
USA,Brookdale Senior Living Inc. -BKD
USA,"Bio-Rad Laboratories, Inc. -BIO"
USA,W. R. Berkley Corporation -WRB
USA,Valley National Bancorp -VLY
USA,"Provectus Biopharmaceuticals, Inc. -PVCT"
USA,Chicago Bridge & Iron Company N.V. -CBI
USA,ICICI Bank Limited -IBN
USA,The Dun & Bradstreet Corporation -DNB
USA,Brookfield Infrastructure Partners L.P. -BIP
USA,"Benchmark Electronics, Inc. -BHE"
USA,Christopher & Banks Corporation -CBK
USA,Boyd Gaming Corporation -BYD
USA,"Broadridge Financial Solutions, Inc. -BR"
USA,"Badger Meter, Inc. -BMI"
USA,"Big Lots, Inc. -BIG"
USA,Belden Inc. -BDC
USA,The Brink's Company -BCO
USA,Credicorp Ltd. -BAP
USA,Braskem S.A. -BAK
USA,"Bankrate, Inc. -RATE"
USA,"Prestige Brands Holdings, Inc. -PBH"
USA,"Beazer Homes USA, Inc. -BZH"
USA,Banco Santander (Brasil) S.A. -BSBR
USA,Brady Corporation -BRC
USA,"Spectrum Brands Holdings, Inc. -SPB"
USA,Lloyds Banking Group plc -LYG
USA,Baytex Energy Corp. -BTE
USA,"Bridgepoint Education, Inc. -BPI"
USA,"New York Community Bancorp, Inc. -NYCB"
USA,National Bank Holdings Corporation -NBHC
USA,"BancorpSouth, Inc. -BXS"
USA,Bank of Hawaii Corporation -BOH
USA,"BankUnited, Inc. -BKU"
USA,Black Hills Corporation -BKH
USA,Biglari Holdings Inc. -BH
USA,Bright Horizons Family Solutions Inc. -BFAM
USA,Brandywine Realty Trust -BDN
USA,"PS Business Parks, Inc. -PSB"
USA,"Prosperity Bancshares, Inc. -PB"
USA,Bellatrix Exploration Ltd. -BXE
USA,"BWX Technologies, Inc. -BWXT"
USA,John Bean Technologies Corporation -JBT
USA,HDFC Bank Limited -HDB
USA,First Bancorp -FBP
USA,"Fortune Brands Home & Security, Inc. -FBHS"
USA,"Boardwalk Pipeline Partners, LP -BWP"
USA,"Burlington Stores, Inc. -BURL"
USA,"Brown & Brown, Inc. -BRO"
USA,Briggs & Stratton Corporation -BGG
USA,Boise Cascade Company -BCC
USA,"Banc of California, Inc. -BANC"
USA,"Installed Building Products, Inc. -IBP"
USA,Centrais Elétricas Brasileiras S.A. - Eletrobras -EBR
USA,Bancolombia S.A. -CIB
USA,"Community Bank System, Inc. -CBU"
USA,CompaÃ±Ã­a de Minas Buenaventura S.A.A. -BVN
USA,China New Borun Corporation -BORN
USA,San Juan Basin Royalty Trust -SJT
USA,Companhia de Saneamento BÃ¡sico do Estado de SÃ£o Paulo - SABESP -SBS
USA,Quanex Building Products Corporation -NX
USA,"Great Western Bancorp, Inc. -GWB"
USA,"Barracuda Networks, Inc. -CUDA"
USA,Companhia Brasileira de Distribuição -CBD
USA,"Blackstone Mortgage Trust, Inc. -BXMT"
USA,Saul Centers Inc. -BFS
USA,BBVA Banco Francés S.A. -BFR
USA,Brown-Forman Corporation -BF-B
USA,"Berry Global Group, Inc. -BERY"
USA,"Sally Beauty Holdings, Inc. -SBH"
USA,Brixmor Property Group Inc. -BRX
USA,"Banco Latinoamericano de Comercio Exterior, S.A -BLX"
USA,"Berkshire Hills Bancorp, Inc. -BHLB"
USA,Scorpio Bulkers Inc. -SALT
USA,Regal Beloit Corporation -RBC
USA,Restaurant Brands International Inc. -QSR
USA,Permian Basin Royalty Trust -PBT
USA,Banco Santander-Chile -BSAC
USA,BRT Apartments Corp. -BRT
USA,BRF S.A. -BRFS
USA,"BG Medicine, Inc. -BGMD"
USA,"Build-A-Bear Workshop, Inc. -BBW"
USA,Banco Bradesco S.A. -BBDO
USA,"Flagstar Bancorp, Inc. -FBC"
USA,"Boot Barn Holdings, Inc. -BOOT"
USA,Urstadt Biddle Properties Inc. -UBA
USA,OFG Bancorp -OFG
USA,"Industrias Bachoco, S.A.B. de C.V. -IBA"
USA,First Republic Bank -FRC
USA,"Enzo Biochem, Inc. -ENZ"
USA,Bluelinx Holdings Inc. -BXC
USA,BT Group plc -BT
USA,"Black Stone Minerals, L.P. -BSM"
USA,Sotheby's -BID
USA,BBX Capital Corporation -BBX
USA,"Northeast Community Bancorp, Inc. -NECB"
USA,"Grupo Financiero Santander México, S.A.B. de C.V. -BSMX"
Germany,Bayerische Motoren Werke Aktiengesellschaft -BMW.DE
USA,"BMB Munai, Inc. -BMBM"
USA,Banco Macro S.A. -BMA
USA,Blue Capital Reinsurance Holdings Ltd. -BCRH
USA,"Silver Bull Resources, Inc. -SVBL"
USA,Telefônica Brasil S.A. -VIV
USA,"Natural Grocers by Vitamin Cottage, Inc. -NGVC"
USA,"Customers Bancorp, Inc. -CUBI"
USA,"Babcock & Wilcox Enterprises, Inc. -BW"
USA,TopBuild Corp. -BLD
USA,"Black Knight Financial Services, Inc. -BKFS"
USA,BioAmber Inc. -BIOA
USA,"Birner Dental Management Services, Inc. -BDMS"
USA,Banco de Chile -BCH
USA,"MidSouth Bancorp, Inc. -MSL"
USA,"Continental Building Products, Inc. -CBPX"
USA,Brookfield Property Partners L.P. -BPY
USA,"Barnes & Noble Education, Inc. -BNED"
USA,Berkshire Bancorp Inc. -BERK
USA,"VSB Bancorp, Inc. -VSBN"
USA,"Brownie's Marine Group, Inc. -BWMG"
USA,"Kraig Biocraft Laboratories, Inc. -KBLB"
USA,"First Federal of Northern Michigan Bancorp, Inc. -FFNM"
USA,Brookfield Renewable Partners L.P. -BEP
USA,Belmond Ltd. -BEL
USA,Generex Biotechnology Corporation -GNBT
USA,Community Shores Bank Corporation -CSHB
USA,China Cord Blood Corporation -CO
USA,"BOLDFACE Group, Inc. -BLBK"
USA,"Oak Ridge Financial Services, Inc. -BKOR"
USA,"Ben Franklin Financial, Inc. -BFFI"
USA,"PURE Bioscience, Inc. -PURE"
USA,Jeffersonville Bancorp -JFBC
USA,Idaho Independent Bank -IIBK
USA,Granite City Food & Brewery Ltd. -GCFB
USA,Farmers & Merchants Bancorp -FMCB
USA,Blue Dolphin Energy Company -BDCO
USA,Petrolia Energy Corporation -BBLS
USA,"Bay Banks of Virginia, Inc. -BAYK"
Germany,BASF SE -BAS.DE
USA,"Star Buffet, Inc. -STRZ"
USA,San Luis Trust Bank FSB -SNLS
